latitude,longitude,cemetery,historic_county,type,cremation_burials,inhumation_burials,date_range,citation,museum,link,full reference,the_geom,created_at,updated_at,cartodb_id
51.788815,-1.5824103,Asthall Barrow,Oxfordshire,Cremation Cemetery,1,0,7th c,Leeds 1924; Dickinson and Speake 1992,Unknown Location,,,0101000020E610000023A875768D51F9BF10CCD1E3F7E44940,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,12
52.312013,0.60242555,Lackford,Suffolk,Cremation Cemetery,1000,0,Early 5th to Late 6th c,Lethbridge 1951,Unknown Location,,,0101000020E610000044CB70F21147E33FA376BF0AF0274A40,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,137
51.384313,-0.42928814,Walton-on-Thames,Surrey,Cremation Cemetery,0,0,5th to 6th c,Lowther 1939,Unknown Location,,,0101000020E6100000351577F67479DBBFBD361B2B31B14940,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,242
53.071973,-0.81935139,Newark,Nottinghamshire,Cremation Cemetery,400,0,Early 5th to 7th c,"Milner 1853; Bateman 1853, 189; Kinsley 1989",Unknown Location,,,0101000020E6100000B46DFF672038EABFF698486936894A40,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,163
52.83363,-1.6259038,Stretton,Staffordshire,Cremation Cemetery,2,0,5th to 6th c,Molyneux 1869,Unknown Location,,,0101000020E6100000F112F7B3B303FABF747B4963B46A4A40,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,222
51.147665,-0.71183966,Thursley,Surrey,Cremation Cemetery,0,0,5th to 6th c,Morris 1959,Unknown Location,,,0101000020E6100000A94376F763C7E6BFC6E1CCAFE6924940,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,233
52.239201,-0.28358156,Cross Hall,Bedfordshire,Cremation Cemetery,1,0,5th to 6th c,Morris 1962,Unknown Location,,,0101000020E6100000E0B67C453326D2BFD3156C239E1E4A40,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,73
51.513784,-0.1221877,Drury Lane,Middlesex,Cremation Cemetery,1,0,6th c,Myres 1937,Unknown Location,,,0101000020E61000009F34796FB147BFBFA29A92ACC3C14940,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,82
52.091407,-0.32283329,Ickwell Bury,Bedfordshire,Cremation Cemetery,2,0,5th c,Myres 1954,Unknown Location,,,0101000020E61000009D0BA7F54CA9D4BF0FD07D39B30B4A40,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,126
52.600936,0.37584771,Downham Market,Norfolk,Cremation Cemetery,3,0,5th c,Myres and Green 1973,Unknown Location,,,0101000020E6100000D97EAE8DE30DD83F997E8978EB4C4A40,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,79
52.587176,1.2890409,Markshall,Norfolk,Cremation Cemetery,102,0,Late 4th to Early 7th c,Myres and Green 1973,Unknown Location,,,0101000020E6100000714DCB59E99FF43F807F4A95284B4A40,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,150
51.734444,0.69221567,The Chalet Site,Essex,Cremation Cemetery,69,0,5th to 6th c,Newton 2009,Unknown Location,,,0101000020E610000024B80D7AA126E63F295FD04202DE4940,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,229
52.811994,-1.2373803,Sutton Bonington,Nottinghamshire,Cremation Cemetery,2,0,5th to 6th c,Oswald 1947,Unknown Location,,,0101000020E6100000496F13494FCCF3BF2C465D6BEF674A40,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,225
52.32891,1.1626719,Eye,Suffolk,Cremation Cemetery,140,0,5th c,Owles and Smedley 1964; 1968,Unknown Location,,,0101000020E6100000A3A6A7D94D9AF23FE7A90EB9192A4A40,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,92
52.323253,-0.93035009,Brixworth IV,Northamptonshire,Cremation Cemetery,3,0,5th to 6th c,Perry 1849; George 1904,Northants Museum,,,0101000020E6100000572E4C8D6DC5EDBFBDAAB35A60294A40,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,41
52.052647,1.2671157,Brightwell-Martlesham,Suffolk,Cremation Cemetery,4,0,6th c,Reid-Moir 1929,Unknown Location,,,0101000020E610000069F8BB1C1B46F43FC39D0B23BD064A40,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,37
51.361303,-0.036498868,Addington Park,Surrey,Cremation Cemetery,2,0,5th to 6th c,Salmon 1736,Unknown Location,,,0101000020E61000009D52CDC8FAAFA2BF2D793C2D3FAE4940,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,2
52.593233,-1.1909908,Enderby,Leicestershire,Cremation Cemetery,2,0,5th to 7th c,Sharman and Clay 1991,Unknown Location,,,0101000020E6100000D9637D5E4C0EF3BF38F4160FEF4B4A40,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,88
52.671414,1.2347109,Drayton,Norfolk,Cremation Cemetery,40,0,5th c,Smith 1850; Smith 1901,Unknown Location,,,0101000020E6100000523C783760C1F33FCC09DAE4F0554A40,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,80
52.067853,1.2375792,Kesgrave,Suffolk,Cremation Cemetery,0,0,6th c,Smith 1852,Unknown Location,,,0101000020E6100000855BE3D81FCDF33FBEF73768AF084A40,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,130
